"COMBO PRODUCT NAME";"Category";"Product Name";"Summary";"Description";"Working Width";"Bending Height";"Bending Angle";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"Bending Tools";"WUKO Mini Bender 2020";"Our curve specialists! For bending up to 90” especially on small radii (inner as well as outer radii)";"Maximum bending height: 20 mm (13/16 in)";"";"Bending Height: 0-13/16""";"";"";"340";" 12x7x5 ";"12";"7";"5";"2";"1005362";"http://dev.sheridantools.com/img/products/1005362.jpg, http://dev.sheridantools.com/img/products/1005362_2.jpg"
"";"Bending Tools";"WUKO Uni Bender 2204";"For bending and forming in sheet metal fabrication. Suitable for both straight and curved sheets. Equipped with four roller stops enabling easier handling and better guidance especially on outside radii. Includes a screw-on handle for easier working at maximum bending height.";"Bending height: 5-200 (3/16 – 8 in)";"";"Bending Height: 3/16-8""";"";"";"428";" 12x7x5 ";"12";"7";"5";"4";"1007863";"http://dev.sheridantools.com/img/products/1007863.jpg, http://dev.sheridantools.com/img/products/1007863_2.jpg, http://dev.sheridantools.com/img/products/1007863_3.jpg"
"";"Bending Tools";"WUKO Uni Bender 2354";"For bending and forming in sheet metal fabrication. Suitable for both straight and curved sheets. Equipped with four roller stops enabling easier handling and better guidance especially on outside radii. Includes a screw-on handle for easier working at maximum bending height.";"Bending height: 5-350 mm (3/16 – 14 in)";"";"Bending Height: 3/16-14""";"";"";"469";" 18x9x9 ";"18";"9";"9";"6";"1007871";"http://dev.sheridantools.com/img/products/1007871.jpg"
"WUKO Duo Bender 3200";"Bending Tools";"WUKO Duo Bender 3200";"Equipped with a second pair of bending rolls and a handle for quick and easy bending of long, straight sheet metal strips.";"Bending height: 5 – 200 mm (3/16 – 8 in)

WUKO Duo Bender 3200 Plus
Consisting of:
• Duo Bender 3200
• Super Clamping Handle to optimize the exertion of pressure, easily and quickly attached to the upper shafts of the WUKO Duo Bender
• Quick Click Supporting Rail to prevent any pressure marks on the material, just click it on the lower shafts of the WUKO Duo Bender
• Carrying case
Clamping handle and supporting rail also available separately for upgrading!
Maximum bending capacity for all Benders 0.8 mm (22 ga)
";"";"Bending Height: 3/16-8""";"";"";"653";" 14x12x8 ";"14";"12";"8";"7";"1005438";"http://dev.sheridantools.com/img/products/1005438.jpg"
"WUKO Duo Bender 3350";"Bending Tools";"WUKO Duo Bender 3350";"Equipped with a second pair of bending rolls and a handle for quick and easy bending of long, straight sheet metal strips.";"Bending height: 5 – 350 mm (3/16 – 14 in)

WUKO Duo Bender 3350 Plus
Consisting of:
• Duo Bender 3350
• Super Clamping Handle to optimize the exertion of pressure, easily and quickly attached to the upper shafts of the WUKO Duo Bender
• Quick Click Supporting Rail to prevent any pressure marks on the material, just click it on the lower shafts of the WUKO Duo Bender
• Carrying case
Clamping handle and supporting rail also available separately for upgrading!
Maximum bending capacity for all Benders 0.8 mm (22 ga)
";"";"Bending Height: 3/16-14""";"";"";"710";" 20x12x12 ";"20";"12";"12";"8";"1005461";"http://dev.sheridantools.com/img/products/1005461.jpg"
"";"Bending Tools";"WUKO Duo Plus Set";"";"";"";"";"";"";"84";"";"";"";"";"1";"1005453";"http://dev.sheridantools.com/img/products/1005453.jpg"
"";"Bending Tools";"WUKO Uber Bender 6200";"Equipped with an angled bending disc for bending up to 100";"Equipped with an angled bending disc for bending up to 100
• Avoids potential scratches to the underlying surface
• Demands less space when forming male and female profiles
• Offers wider application than other tools
The ideal tool for delicate materials, spring back materials and bending along longitudinal beadings.

Bending height: 5-200 mm (3/16-8 in)
";"";"Bending Height: 3/16-8""";"";"";"509";" 12x7x5 ";"12";"7";"5";"4";"1007640";"http://dev.sheridantools.com/img/products/1007640.jpg, http://dev.sheridantools.com/img/products/1007640_2.jpg"
"";"Bending Tools";"WUKO Uber Bender 6350";"Equipped with an angled bending disc for bending up to 100";"Equipped with an angled bending disc for bending up to 100
• Avoids potential scratches to the underlying surface
• Demands less space when forming male and female profiles
• Offers wider application than other tools
The ideal tool for delicate materials, spring back materials and bending along longitudinal beadings.

Bending height: 5- 350m (3/16-14 in)
";"";"Bending Height: 3/16-14""";"";"";"549";" 18x9x9 ";"18";"9";"9";"6";"1008317";"http://dev.sheridantools.com/img/products/1008317.jpg"
"WUKO Uber Bender Duo 7200";"Bending Tools";"WUKO Uber Bender Duo 7200";"The double version for long panels! Equipped with a second pair of angled bending discs and a handle for quick and easy bending of long, straight panels. Delivered in a carrying case.";"Bending height: 5-200 mm (3/16-8 in)";"";"Bending Height: 3/16-8""";"";"";"811";" 16x14x8 ";"16";"14";"8";"10";"1007665";"http://dev.sheridantools.com/img/products/1007665.jpg, http://dev.sheridantools.com/img/products/1007665_2.jpg"
"WUKO Uber Bender Duo 7350 ";"Bending Tools";"WUKO Uber Bender Duo 7350 plus";"";"";"";"Bending Height: 3/16-14""";"";"";"956";" 20x12x8 ";"20";"12";"8";"13";"1013077";"http://dev.sheridantools.com/img/products/1013077.jpg"
