"COMBO PRODUCT NAME";"Category";"Product ID";"Product Name";"Short Description";"Description";"Working Width";"Bending Height";"Bending Height";"Bending Angle";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number"
"WUKO Duo Bender 3200";"9";"30";"";"Equipped with a second pair of bending rolls and a handle for quick and easy bending of long, straight sheet metal strips.";"Bending height: 5 – 200 mm (3/16 – 8 in)

WUKO Duo Bender 3200 Plus
Consisting of:
• Duo Bender 3200
• Super Clamping Handle to optimize the exertion of pressure, easily and quickly attached to the upper shafts of the WUKO Duo Bender
• Quick Click Supporting Rail to prevent any pressure marks on the material, just click it on the lower shafts of the WUKO Duo Bender
• Carrying case
Clamping handle and supporting rail also available separately for upgrading!
Maximum bending capacity for all Benders 0.8 mm (22 ga)
";"";"Bending Height";"3/16-8""";"";"";"653";" 14x12x8 ";"";"";"";"7";"1005438"
"WUKO Duo Bender 3200";"9";"30";"";"";"";"";"Bending Height";"3/16-8""";"";"";"731";" 16x12x8 ";"";"";"";"11";"1005446"
"WUKO Duo Bender 3350";"9";"31";"";"Equipped with a second pair of bending rolls and a handle for quick and easy bending of long, straight sheet metal strips.";"Bending height: 5 – 350 mm (3/16 – 14 in)

WUKO Duo Bender 3350 Plus
Consisting of:
• Duo Bender 3350
• Super Clamping Handle to optimize the exertion of pressure, easily and quickly attached to the upper shafts of the WUKO Duo Bender
• Quick Click Supporting Rail to prevent any pressure marks on the material, just click it on the lower shafts of the WUKO Duo Bender
• Carrying case
Clamping handle and supporting rail also available separately for upgrading!
Maximum bending capacity for all Benders 0.8 mm (22 ga)
";"";"Bending Height";"3/16-14""";"";"";"710";" 20x12x12 ";"";"";"";"8";"1005461"
"WUKO Duo Bender 3350";"9";"31";"";"";"";"";"Bending Height";"3/16-14""";"";"";"798";" 20x12x12 ";"";"";"";"13";"1005479"
"WUKO Uber Bender Duo 7200";"9";"35";"";"The double version for long panels! Equipped with a second pair of angled bending discs and a handle for quick and easy bending of long, straight panels. Delivered in a carrying case.";"Bending height: 5-200 mm (3/16-8 in)";"";"Bending Height";"3/16-8""";"";"";"811";" 16x14x8 ";"";"";"";"10";"1007665"
"WUKO Uber Bender Duo 7200";"9";"35";"";"";"";"";"Bending Height";"3/16-8""";"";"";"875";" 16x14x8 ";"";"";"";"11";"1013069"
"WUKO Combo Bender 5000";"9";"44";"";"Handy tool for beading, stiffening and offsetting of sheet metal.";"• Four roller stops for easier guidance on straight sheet metal strips
• Quick and easy removal of two roller stops for working on curves
• Adjustable throat depth from 0 to 65 mm (2 ½ in)
• Lower shaft radially adjustable (forming pressure increase)
• Roll sets made of hardening steel equipped with long- life bearings
• Interchangeable roll sets (special roll sets on demand)
";"";"";"";"";"";"785";" 12x12x10 ";"";"";"";"6";"1005545"
"WUKO Combo Bender 5000";"9";"44";"";"";"";"";"";"";"";"";"785";" 12x12x10 ";"";"";"";"6";"1005545_1"
"WUKO Combo Bender 5000";"9";"44";"";"";"";"";"";"";"";"";"785";" 12x12x10 ";"";"";"";"6";"1005545_2"
"WUKO Combo Bender 5000";"9";"44";"";"";"";"";"";"";"";"";"785";" 12x12x10 ";"";"";"";"6";"1005545_3"
"WUKO Combo Bender 5000 Replacement Rollers";"9";"45";"";"Pair of replacement rollers for WUKO Combo Bender 5000";"";"";"";"";"";"";"129";"";"";"";"";"1";"1005552"
"WUKO Combo Bender 5000 Replacement Rollers";"9";"45";"";"";"";"";"";"";"";"";"129";"";"";"";"";"1";"1005560"
"WUKO Combo Bender 5000 Replacement Rollers";"9";"45";"";"";"";"";"";"";"";"";"129";"";"";"";"";"1";"1005578"
"WUKO Combo Bender 5000 Replacement Rollers";"9";"45";"";"";"";"";"";"";"";"";"129";"";"";"";"";"1";"1005586"
