"COMBO PRODUCT NAME";"Category";"Product ID";"Working Width";"Working Width";"Seam Height";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"WUKO Master 0420";"3";"81";"";"";"";"";"32600";" crate ";"";"";"";"";"1005800";""
"WUKO Master 0420";"3";"81";"";"";"";"";"34800";" crate ";"";"";"";"";"1005818";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"5/16""";"2290";" 16x14x8 ";"";"";"";"13";"1006121";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"3/8""";"2290";" 16x14x8 ";"";"";"";"13";"1006139";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"1/2""";"2290";" 16x14x8 ";"";"";"";"13";"1006147";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"16""";"278";"";"";"";"";"0.2";"1006154";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"8""";"278";"";"";"";"";"0.2";"1006162";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"2""";"278";"";"";"";"";"0.2";"1006170";""
"WUKO Sprinter 0410";"3";"82";"";"";"Seam Height";"1""";"5390";" 24x16x16 ";"";"";"";"63";"1005826";""
"WUKO Sprinter 0410";"3";"82";"";"";"Seam Height";"1½""";"5440";" 24x16x16 ";"";"";"";"63";"1014554";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"Seam Height";"1""";"160";"";"";"";"";"0.1";"1004134";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"Seam Height";"1 1/2""";"190";"";"";"";"";"0.1";"1007723";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"";"";"450";"";"";"";"";"2";"1005834";""
