"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images";"Tax"
"";"Soldering Equipment";"22";"";"";"EXPRESS Standard Soldering Iron Kit  ";"For heavy duty sheet metal soldering.";"For heavy duty sheet metal soldering. It comes pretested and assembled for immediate use on the roof or in the shop.  
Including the following components: 
•	Standard Soldering Iron 
•	Diamond Tip 
•	15’ Hose U/L listed 
•	30 PSI Regulator U/L listed 
•	Replacement Gas nozzle  
•	Flint striker 
•	User Guide ";"265";"";"";"";"";"5";"1006535";"http://dev.sheridantools.com/img/products/1006535.jpg";"38"
"";"Soldering Equipment";"22";"";"";"EXPRESS Premium Soldering Iron Kit  ";"Tthe most popular soldering iron kit from EXPRESS";"Ultra-light and ultra-strong, the most popular  soldering iron kit from EXPRESS 
Including the following components: 
•	Premium Soldering Iron with Self Ignition Button 
•	Medium Size Turbo Hammer Tip 
•	15’ Hose U/L listed 
•	30 PSI Regulator U/L listed 
•	Replacement Gas nozzle  
•	User Guide ";"399";"";"";"";"";"5";"1006576";"http://dev.sheridantools.com/img/products/1006576.jpg";"38"
"";"Soldering Equipment";"22";"";"";"EXPRESS Premium Portable Soldering Iron Kit";"Compatible with propane gas canisters ";"Includes the following components: 
•	Premium Soldering Iron with Self Ignition Button 
•	Medium Size Turbo Hammer Tip 
•	5’ Hose U/L listed 
•	Worthington Regulator ";"389";"";"";"";"";"5";"1006568";"http://dev.sheridantools.com/img/products/1006568.jpg";"38"
"EXPRESS Copper Tips";"Soldering Equipment";"22";"";"";"EXPRESS Copper Tips";"";"";"51";"4x4x4";"4";"4";"4";"1";"1006634";"http://dev.sheridantools.com/img/products/1006634.jpg, http://dev.sheridantools.com/img/products/1006634_2.jpg";"38"
"EXPRESS Turbo Tips";"Soldering Equipment";"22";"";"";"EXPRESS Turbo Tips";"";"";"57.6";"4x4x4";"4";"4";"4";"1";"1006667";"http://dev.sheridantools.com/img/products/1006667.jpg";"38"
"EXPRESS Long-Lasting Tips";"Soldering Equipment";"22";"";"";"EXPRESS Long-Lasting Tips";"";"";"115";"4x4x4";"4";"4";"4";"1";"1006691";"http://dev.sheridantools.com/img/products/1006691.jpg";"38"
"Fixed Regulator U/L Listed  ";"Soldering Equipment";"22";"";"";"Fixed Regulator U/L Listed  ";"";"";"42.6";"4x4x4";"4";"4";"4";"1";"1006865";"http://dev.sheridantools.com/img/products/1006865.jpg";"38"
"";"Soldering Equipment";"22";"";"";"30 PSI Regulator for 14 oz. Propane Cylinder";"Fits all 14 oz. Worthington, ";"Fits all 14 oz. Worthington, ";"38.9";"4x4x4";"4";"4";"4";"1";"1016626";"http://dev.sheridantools.com/img/products/1016626.jpg";"38"
"";"Soldering Equipment";"22";"";"";"Connector Kit (2 x male/1 x female)  ";"Bernzomatic & Coleman Type  ";"Bernzomatic & Coleman Type  ";"42.4";"4x4x4";"4";"4";"4";"1";"1015817";"http://dev.sheridantools.com/img/products/1015817.jpg";"38"
"";"Soldering Equipment";"22";"";"";"Gas Nozzle (Orifice) for Self-Igniter Soldering Irons  ";"";"Price per 5-pack  ";"45";"4x4x4";"4";"4";"4";"1";"1006832";"http://dev.sheridantools.com/img/products/1006832.jpg";"38"
"";"Soldering Equipment";"22";"";"";"Heat Chamber Screen ";"";"";"14.9";"4x4x4";"4";"4";"4";"1";"1006915";"http://dev.sheridantools.com/img/products/1006915.jpg";"38"
"";"Soldering Equipment";"22";"";"";"Igniter Switch Replacement Kit  ";"";"";"49.9";"4x4x4";"4";"4";"4";"1";"1006840";"http://dev.sheridantools.com/img/products/1006840.jpg";"38"
"Hose U/L Listed";"Soldering Equipment";"22";"";"";"Hose U/L Listed";"";"";"23.8";"12x12x4";"12";"12";"4";"2";"1006790";"http://dev.sheridantools.com/img/products/1006790.jpg";"38"
"";"Soldering Equipment";"22";"";"";"EXPRESS Hot Air Gun";"Includes a 1.57″ tip ";"Includes a 1.57″ tip ";"479";"";"";"";"";"5";"1015833";"http://dev.sheridantools.com/img/products/1015833.jpg";"38"
"";"Soldering Equipment";"22";"";"";"EXPRESS Hot Air Gun Straight Tip 1.57″  ";"";"";"23.8";"4x4x4";"4";"4";"4";"1";"1015841";"http://dev.sheridantools.com/img/products/1015841.jpg";"38"
"";"Soldering Equipment";"22";"";"";"EXPRESS Hot Air Gun Heating Element ";"";"";"52.9";"4x4x4";"4";"4";"4";"1";"1015858";"http://dev.sheridantools.com/img/products/1015858.jpg";"38"
