"Product ID";"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Attribute";"Attribute Value";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"98";"HSS Shape and Straight Cutting Snips";"Snips";"13";"Erdi / BESSEY";"5";"Right Cutting Snips";"Type";"Right";"";"";"128";"4x4x12";"12";"4";"4";"2";"1004738";"http://dev.sheridantools.com/img/products/1004738.jpg"
"98";"HSS Shape and Straight Cutting Snips";"Snips";"13";"Erdi / BESSEY";"5";"Left Cutting Snips";"Type";"Left";"";"";"128";"4x4x12";"12";"4";"4";"2";"1004746";"http://dev.sheridantools.com/img/products/1004746.jpg"
"98";"HSS Shape and Straight Cutting Snips";"Snips";"13";"Erdi / BESSEY";"5";"Long Nose, Multi-purpose- Left Cutting Snips";"Type";"Left";"";"";"34.5";"4x4x12";"12";"4";"4";"2";"1006931";"http://dev.sheridantools.com/img/products/1006931.jpg"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
