"Product ID";"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Attribute";"Value";"Summary";"Description";"PRICE";"Impact on Price";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Impact on Weight";"Item Number";"Images"
"166";"EXPRESS Copper Tips";"Soldering Equipment";"22";"";"";"Copper Diamond Tip- 8 oz";"Size";"8 oz";"";"";"51";"";"4x4x4";"4";"4";"4";"1";"";"1006634";"http://dev.sheridantools.com/img/products/1006634.jpg"
"166";"EXPRESS Copper Tips";"Soldering Equipment";"22";"";"";"Copper Medium Tip- 9 oz";"Size";"9 oz";"";"";"51";"";"4x4x4";"4";"4";"4";"1";"";"1006642";"http://dev.sheridantools.com/img/products/1006642.jpg"
"166";"EXPRESS Copper Tips";"Soldering Equipment";"22";"";"";"Copper Large Tip- 11 oz";"Size";"11 oz";"";"";"54.5";"3.5";"4x4x4";"4";"4";"4";"1";"";"1006659";"http://dev.sheridantools.com/img/products/1006659.jpg"
"166";"EXPRESS Copper Tips";"Soldering Equipment";"22";"";"";"Copper XL Hammer Tip- 24 oz";"Size";"24 oz";"";"";"99.5";"45";"4x4x4";"4";"4";"4";"2";"1";"1016054";"http://dev.sheridantools.com/img/products/1016054.jpg"
"167";"EXPRESS Turbo Tips";"Soldering Equipment";"22";"";"";"Turbo Tip Medium- 8 oz";"Size";"8 oz";"";"";"57.6";"";"4x4x4";"4";"4";"4";"1";"";"1006667";"http://dev.sheridantools.com/img/products/1006667.jpg"
"167";"EXPRESS Turbo Tips";"Soldering Equipment";"22";"";"";"Turbo Tip Large- 10 oz";"Size";"10 oz";"";"";"62.4";"4.8";"4x4x4";"4";"4";"4";"1";"";"1006675";"http://dev.sheridantools.com/img/products/1006675.jpg"
"168";"EXPRESS Long-Lasting Tips";"Soldering Equipment";"22";"";"";"Long-Lasting Straight Diamond Tip- 3.7″, 8 oz.  ";"Size; Length";"8 oz; 3.7""";"";"";"115";"52.6";"4x4x4";"4";"4";"4";"1";"";"1006691";"http://dev.sheridantools.com/img/products/1006691.jpg"
"168";"EXPRESS Long-Lasting Tips";"Soldering Equipment";"22";"";"";"Long-Lasting Tip, Medium- L 4.0″, 8 oz";"Size; Length";"8 oz; 4.0""";"";"";"120";"5";"4x4x4";"4";"4";"4";"1";"";"1006709";"http://dev.sheridantools.com/img/products/1006709.jpg"
"168";"EXPRESS Long-Lasting Tips";"Soldering Equipment";"22";"";"";"Long-Lasting Tip, Large- L 4.3″,10 oz.  ";"Size; Length";"10 oz; 4.3""";"";"";"125";"5";"4x4x4";"4";"4";"4";"1";"";"1006717";"http://dev.sheridantools.com/img/products/1006717.jpg"
"169";"Fixed Regulator U/L Listed  ";"Soldering Equipment";"22";"";"";"30 PSI regulator";"Size";"30 PSI";"";"";"42.6";"";"4x4x4";"4";"4";"4";"1";"";"1006865";"http://dev.sheridantools.com/img/products/1006865.jpg"
"169";"Fixed Regulator U/L Listed  ";"Soldering Equipment";"22";"";"";"60 PSI regulator";"Size";"60 PSI";"";"";"48.2";"5.6";"4x4x4";"4";"4";"4";"1";"";"1016062";"http://dev.sheridantools.com/img/products/1016062.jpg"
"175";"Hose U/L Listed";"Soldering Equipment";"22";"";"";"5' Hose U/L Listed  ";"Length";"5'";"";"";"23.8";"";"12x12x4";"12";"12";"4";"2";"1";"1006790";"http://dev.sheridantools.com/img/products/1006790.jpg"
"175";"Hose U/L Listed";"Soldering Equipment";"22";"";"";"15' Hose U/L Listed  ";"Length";"15'";"";"";"48.6";"24.8";"12x12x4";"12";"12";"4";"5";"3";"1006857";"http://dev.sheridantools.com/img/products/1006857.jpg"
